epochs,MAE,MRSTFT
0,0.027509954,0.2676477394998073
1,0.019947473,0.1397233856841921
2,0.078081004,0.546331062912941
3,0.23353,1.971412226557732
4,0.06780992,0.6463060490787029
5,0.03399806,0.2539720386266708
6,0.10811768,0.6381647922098637
7,0.09875926,0.8695534914731979
8,0.08013395,0.5846214555203915
9,0.13097318,1.058718591928482
10,0.12707868,0.8926638290286064
11,0.049578458,0.413179388269782
12,0.0059941458,0.0335600851103663
13,0.071223095,0.5322821475565434
14,0.15239865,0.5357719399034977
15,0.13252755,0.8882117047905922
16,0.059681155,0.4406392965465784
17,0.1147526,0.8156202659010887
18,0.061654996,0.5545130148530006
19,0.14957467,1.1112786531448364
20,0.12699436,1.1988728642463684
21,0.15754242,1.125075325369835
22,0.06974199,0.5262641683220863
23,0.076111205,0.6465234011411667
24,0.14750016,0.9399467557668686
25,0.006045053,0.0460199797526001
26,0.15715119,1.4773565605282784
27,0.06627005,0.5206821672618389
28,0.08167271,0.229924339801073
29,0.093881525,0.8952758871018887
30,0.0059724213,0.0432717609219253
31,0.07198314,0.5783015638589859
32,0.109981984,1.1075249537825584
33,0.07447517,0.6048326455056667
34,0.010916342,0.0627799998037517
35,0.02391078,0.0804536817595362
36,0.1320179,0.9450823962688446
37,0.059526242,0.4671210348606109
38,0.07441914,0.5737140588462353
39,0.103905655,0.5543633177876472
40,0.121785045,0.9838534146547318
41,0.13680468,1.2030750289559364
42,0.08339137,0.6108733117580414
43,0.10415658,0.6380075216293335
44,0.122207895,0.746741533279419
45,0.14733112,1.1293574050068855
46,0.026039245,0.1511898851022124
47,0.16701259,1.223594956099987
48,0.15397613,0.3870366364717483
49,0.08672709,0.3169504888355732
0,0.08713318,0.6389525346457958
1,0.09677151,0.5613259747624397
2,0.12883404,0.9411046281456947
3,0.057407387,0.515500858426094
4,0.19063054,1.772762507200241
5,0.032770034,0.2505484018474817
6,0.043943875,0.3638810310512781
7,0.08596816,0.6347786746919155
8,0.113653265,0.6821843087673187
9,0.16893232,1.4009647443890572
10,0.11626372,0.8473096713423729
11,0.15600842,1.2629418522119522
12,0.1519531,1.0679967030882835
13,0.08748236,0.856431033462286
14,0.055312533,0.40258398465812206
15,0.065089665,0.4755016379058361
16,0.076774,0.4989299587905407
17,0.06473984,0.31927668675780296
18,0.10331341,0.9104271270334721
19,0.0046949703,0.026511175092309713
20,0.0073237293,0.05833893269300461
21,0.05270463,0.4551517218351364
22,0.21956517,1.4416238367557526
23,0.1073776,0.522883266210556
24,0.057561778,0.3400019183754921
25,0.18651092,1.5208351090550423
26,0.1627093,1.0058311074972153
27,0.10411813,0.5721460841596127
28,0.38218072,2.980952739715576
29,0.15575516,1.3779390826821327
30,0.07023599,0.6225371100008488
