epochs,MAE,MRSTFT
195,0.010086766,0.071599394
196,0.006291259,0.033960288
197,0.015859071,0.126888442
198,0.028261356,0.073154128
199,0.022894861,0.186957402
200,0.020013975,0.116618218
201,0.020776385,0.152071361
202,0.020828983,0.120973759
203,0.00869153,0.073680284
204,0.005781039,0.038145461
205,0.009747283,0.047581967
206,0.010808151,0.060357801
207,0.014080702,0.107441278
208,0.013293519,0.102834385
209,0.020861015,0.178759131
210,0.01287188,0.09169927
211,0.027491566,0.181497957
212,0.023885375,0.227514002
213,0.007375523,0.04936406
214,0.013869542,0.115501259
215,0.021207718,0.197089762
216,0.019010793,0.140521672
217,0.018967556,0.12085955
218,0.005355577,0.036489588
219,0.013073906,0.11749663
220,0.020208362,0.155727695
221,0.01873735,0.127324598
222,0.00316844,0.0267845
223,0.008822609,0.053257906
224,0.015194248,0.141376795
225,0.011265722,0.070710661
226,0.004051411,0.029953928
227,0.035883836,0.204510758
228,0.050073422,0.229009699
229,0.023707885,0.174196047
230,0.00943995,0.081555907
231,0.041080397,0.250770008
232,0.023723457,0.166517101
233,0.02290036,0.146956048
234,0.017864678,0.150212832
235,0.017639281,0.131377084
236,0.018025778,0.14580284
237,0.027868407,0.146583944
238,0.008946538,0.063554218
239,0.012052556,0.097104118
240,0.0082671,0.073279944
241,0.013403407,0.103064998
242,0.01868006,0.100531255
243,0.015231012,0.100456302
244,0.013346677,0.111394039
245,0.019846773,0.146640817
246,0.018343048,0.125780212
247,0.014861688,0.099550834
248,0.01000772,0.056199195
249,0.015750138,0.101567044
250,0.013397729,0.109866581
251,0.011904584,0.089882061
252,0.00820009,0.072709822
253,0.017425498,0.129764541
254,0.019972133,0.162958547
255,0.01744713,0.076217808
256,0.009848865,0.079378647
257,0.009509603,0.063592697
258,0.013359266,0.120849243
259,0.013673485,0.100824434
260,0.006461113,0.055354813
261,0.02082302,0.18223315
262,0.011494275,0.097366379
263,0.020384382,0.104989162
264,0.017021231,0.097094763
265,0.017385649,0.13083398
266,0.003790152,0.022468287
267,0.011167171,0.082596748
268,0.021664536,0.171483008
269,0.006714248,0.057585624
270,0.018742286,0.150838301
271,0.003858392,0.027004986
272,0.01786415,0.166229831
273,0.019003091,0.156751842
274,0.011887912,0.090173366
275,0.021238722,0.175761453
276,0.008770995,0.070336696
277,0.019754658,0.12785697
278,0.014153943,0.092318032
279,0.008356657,0.069397467
280,0.012199478,0.118422913
281,0.005591941,0.036320248
282,0.01759412,0.120122941
283,0.01224741,0.064705343
284,0.016006058,0.144390026
285,0.014210934,0.091739397
286,0.012773747,0.083571668
287,0.02466692,0.19391669
288,0.016338289,0.151180727
289,0.01735275,0.145483133
290,0.026047135,0.132325041
291,0.02350503,0.135027082
292,0.012990941,0.118532339
293,0.026567055,0.212575924
294,0.011995619,0.085239572
295,0.011394382,0.099354718
296,0.012085548,0.097339071
297,0.014018338,0.122198012
298,0.023996547,0.195778381
299,0.017150091,0.14807888
300,0.01987949,0.115565396
301,0.020180421,0.169429012
302,0.010203856,0.082082536
303,0.013039343,0.09792852
304,0.022571884,0.140771544
305,0.028470572,0.197591461
306,0.014129732,0.118958454
307,0.009696317,0.077283762
308,0.0151716,0.118246399
309,0.016852375,0.122724166
310,0.015408316,0.102099368
311,0.007477479,0.054296303
312,0.011837265,0.077127833
313,0.021036854,0.163238417
314,0.022564732,0.173086216
315,0.009306398,0.074590554
316,0.018766256,0.139178473
317,0.013002466,0.097246804
318,0.011870113,0.111653793
319,0.024334073,0.18079954
320,0.01994236,0.140009193
321,0.010253765,0.078826644
322,0.003145433,0.02715906
323,0.023750702,0.165259711
324,0.013697927,0.087460342
325,0.017595699,0.149442423
326,0.024061343,0.163437468
327,0.018720582,0.135250958
328,0.022674559,0.156856322
329,0.01861622,0.113052498
330,0.012989735,0.108903422
331,0.009099036,0.055027745
